Dialetto,Italiano
alla  prima  occhiata.  A  oci  s erodi,alla
"mente,  fidatamente.  A  quatFoci",a  quat¬
trócchi.  Ai  so  ò.,"a  suo  parere,  al  suo"
"gusto,  ai  suoi  o.  A  o.  vegènti",a  occhi
Aver  i  o.  per  disturbo,non  aver  gli  òc¬
(dello  analogo  a  un  francese ),giudicar
mette  in  tavola.  Aver  V  o.,"badare,  aver"
"Po.  Aver  <?.,  over  bon  o.",esser  buon  co¬
o.  in  testa,"essere  avveduto,  avvisato,"
i  ò.,"non  averne  affatto,  essere  pulito"
tar  V  ò.  sora  uno,"fare  assegnamento,"
nei  ò.,"illudere,  ingannare,  buttar  della"
pólvere  negli  ò.  Cascar  solo  ai  ò.,cascar
"pagar  n' o.,  n'o.  de  la  testa","troppo  caro,"
un  ò.  Colpo  d'  ò.,"magnifico  spettacolo,"
Coi  propi  ò.,"ocularmente,  coi  propri  o.,"
di  veduta.  Con  tanto  d '  ci.,con  gli  òcchi
en  l '  o.,"essere  appariscente,  fare  impres¬"
"catti) ,  de  mal  ò.  [veder)",con  benev»  lènz
oci,negli  occhi  ( p .  e .  il  cappello).  Eser
Vo.  drit  de  uno,"esser  sommamente  caro,"
sti  o  d’alciino.  Far  d'  o.,"ammiccare,  dar"
en  bel  o.,"essere  bene  accomodato,  far"
mai  ecc .  Lasarghe  i  o.,mostrarsi  desi¬
voglia.  Lézer  nei  o.,"leggere  in  viéo,"
negli  o.  Magnar  coi  o.,"essere,  mostrarsi"
dr  oci,"mal  d*  occhi,  oftalmia  donde  of¬"
tàlmico.  Medico  dei  o.,"oculista,  donde"
far  per  i  o.,sovrabbondare;  averne
occhi.  No  creder  ai  so  o.,non  parer
tenti  !  bada  !  occhio  !  0.  de  gaiina,oc¬
chio  di  pernice  (callo).  0.  del  sol,sferza
del  sole.  Od  fondi,infossati  ;  rosi  -
rossi  (per  pianto).  Perder  d’o.,perder  di
qui  in  fine).  Serar  i  o.,"morire,  chiudere,"
serrare  gli  o.  Serar  n'  n.,far  vista  di
connivènza.  No  podér  serar  o.,non
V  o.,a  una  voltata  d’  occhi  (vedere).
Soto  ai  o.  de...,"sotto  la  vigilanza,  la"
"ier,  strucar  i  o.","aguzzare  la  vista,  gli  o."
sbirciare.  Strucar  l'  o.,"stringere,  striz¬"
Tegnir  To.  a....,"attendere,  badare,  mi¬"
rare.  Tegnir  ì  o.  dovérti.,"vigilare,  star"
nare).  Quant  che  tira  T  o.,quanto  ab¬
braccia  la  vista.  Tòr  i  o.,"abbagliare,"
zión  ecc.),"veder  coll'  o.  di,  del....  Pollar"
in  là.  Od  come  stéle,occhi  come  due
stelle.  El  gnènt  l'  è  bon  per  i  oci,"N ulla,"
cavai,L’  o.  del  padrone  ingrassa  il  ca¬
vallo.  V  o.  voi  la  so  pari,anche  l’ap¬
parte.  Vede  pii  qnatro  od  che  dei,veg-
oción,occhione  ;  occhiaccio.
òco,"maschio  dell'oca,  massime  selvatica."
ocona,"oca  grande,  ocona."
ocorenza,"occorrènza,  bisógna  ;  congiun¬"
ocorer,"occorrere,  bisognare  ;  accadere,"
oculista,"occuhsta,  donde  oculistica,"
ocupar,"occupare,  riempire;  impossessarsi,"
ocupazión,"occupazione,  impiego;  faccenda,"
ocupazioncèla,occupazioncèlla.
*òdia.  Dar  trust.),"dar  rètta,  dare  ascolto"
odiar,"odiare,  aborrire;  detestare  ;  sprez¬"
zare.  Chi  odia,"odiatore,  sprezzatore."
o  dio  !,"no,  no  davvero,  oibò  !"
òdio,"òdio,  aborrimento  ;  rancore,  àstio."
"Con,  per  o.","in,  per  odio,"
odiosità,"odiosità,  parte  odioéa."
odios,"odioso,  spregévole."
"licato,  flagranza,  profumo.  Cativ  o.",cat¬
odorifero.  0.  de  sera  su,puzzo  di  rin¬
chiuso.  Sentir  F  o.  de,"seulir  l’odore,"
V.  usma).  Senza  o.,inodoro.  Dar  bon
"o.  a  na  bevanda,  un  medefina  etc.",ag¬
odorar,"odorare,  fiutare."
odorato,"odorato,  olfatto."
odoràz,odoraccio.  a
odorili,"odorino,  spiacevole  odoraccio,"
òe  !,ohe  !  ( rimprovero );  oi  !  oe!  (chiamala).
of!,ouf!
ofèla,"«.dèlia;  sfogliata,"
ofender,"offendere,  ingiuriare;  se  grave¬"
mente  oltraggiare.  Ofenderse,recarsi  a
ofenslv,"offensivo,  ingiurioso,"
ofensor,offensore.
oferta,"offerta,  profferta,  esibizione  ;  n-"
ofertori,offertorio.
ofes  a,"offesa,  ingiuria;  se  grave  oltraggio,"
offeina  (7 teol.),"officina,  laboratorio,"
ofizi,uffizio  ;  uffiziolo  (libro).  Dir  H  o.  -
ofiziàl,ufficiale  (agg.)  donde  ufficialmente;
ofiziàlét,"ufficialetto,  spreg.  uffici. .luccio,"
ofiziar,"ufficiare,  celebrare,"
ofrir,"offrire;  proporre,  profferire,  esibire."
"*òga,  raagòga.  Nar  eri,  vegnir  de",an¬
*òga  struca,"suppergiù,  volta  e  rivolta,"
ogèto,"oggetto,  argomento;  materia  [di"
ógni,"ógni;  ciascuno,  qualunque.  0.  do,"
"tre  eie.  dì,  mesi,  ani","ogni  due,  tre  etc."
-  per  poco  che.  0.  tant,"ogni  tanto,  ogni"
ognun,"ognuno,  ciascuno;  chiunque,"
oi  !,ohi  !  ohibò  !  ohimè  !  0.  de  casa  !  -
"oleosità.  Conzà,  co  Ho.",condito  con  l'o..
"oliato,  con  inoliare.  Chi  vende  o.",oliàn¬
dolo.  0.  de  sas  (disusi),"petrolio,  disns,"
"volg,  olio  «li  sasso.  0.  de  merita",olio  di
merluzzo.  0.  sant.,"olio  santo,  estrema"
e  sai,"pinzimonio.  Color,  pitura  a  0.  -"
l'o.,"chetissimo,  chéto,  zitto  come  l’olio."
Rn  o.  (fon.  etc.),sott'  olio.  Magnar  de
0.,"mangiar  rigorosamente  da  magro,  col"
reria  magnar  de  0,giorni  neri  (in  qual¬
uti  olio.  Servir  a  o.,Servir  di  barba  e
*oio  fumante,àcido  solfòrico.
*ola,pianella  di  terracotta  invetriata  per
♦olàdega,"spólvero,  volanda  (dei  mulini)."
olanda,Aver  en  cui.  l.l  V.  cui.
*olfa,"olfatto,  odorato.  Aver  l’o.,  eser  su"
Ho.,"aver  sentore,  subodorare,  fiutare,  esser"
sulla  traccia.  Aver  ita  bona  o.,esser  sa¬
oleandro,"oleandro,  leandro."
*òlez.  L'  è,"è  indifferente,  tutt-  uno,  lo"
olivét,"ligustro,  oleastro."
*òlma  ( rust .),grosso  fascio  di  fascine
*olmar  (rust.),"far  rotolare,  mandar  giù"
"1*  interno,  là  dentro.  Fbr  o.",di  fuori  ;
oltragiar  ( neol .),"ingiuriare,  insultare,"
oltragio  (neoli),"ingiuria  ;  insulto,  oltraggio,"
oltremàr,"oltremare,"
oltrepasar,"oltrepassare,  superare,"
òtn,"uòmo,  volg.  òmo,  nei  vari  sensi  :"
Nel  plur.  ameni,"lavoranti  ;  soldati,  e"
pur  uòmini.  Da  om,"da  uomo,  virile,"
(orza!;  de  monda,"di  mondo,  spregiudi¬"
cato;  de  paia,"debole,  fiacco,  di  paglia,"
"di  stoppa,  di  vetro  ;  de  parola","di  parola,"
leale  ;  di  oro,"d’  oro,  eccellente  ;  pèrs  -"
Far  t’  b.  far  da  b.,"far  l’uomo,  operar"
"da  uomo,  con  senno.  Farse  om.",farsi
dizio.  N’  om,"irtdef.  un  uomo,  un  tale."
N’btn  de  ne'f,"neve  alta  un  uomo,  un"
uomo  di  neve.  Pésa  d’  o.,"grande,  tar¬"
pone  e  Dio  dispone,1'  uomo  propone  e
omagiar,"fare  omaggio,  ossèquio;  osse¬"
omagio,"omaggio;  ossèquio,"
omàz,"omaccio,  ominaccio."
omazón,omaccione.
ombra,"ombra,  ne'  vari  sensi ;  pori."
o.  che  è  pien  dio.,ombroso.  Aver  paura
de  la  s'o  o.,"essere  paurosissimo,  aver"
coll’  ombra.  Dar  o.,"mettere,  dar  sospetto,"
dar  ombra.  Eser  ti  o.,"persona  magra,"
"sparuta,  un’  ombra.  Far  o.","ombreggiare,"
"Gnanca  i  o.,  gnatica  per  ombra",manco
♦ombrar  (rust.),"numerare,  noverare."
ombrèla,omhrèllo;  atteggiamento  di  certi
ombrelada,"ombrellata,"
ombrelàr,"ombrellaio,"
ombrelàz,"ombrellaccio,  paniaccio  (vecchio"
ombreleta,ombrellino  ;  spreg.  ombrel-
ombrelfn,"ombrellino,  parasole,"
ombrelón,ombrellone.
♦ombrelón,dentino  o  steccherino  bianco
ombrezadura,"ombreggiatura;  ombreggio,"
ombrezar,"ombreggiare,  ombrare,"
♦ombrigol,"ombelico,  bellico  ;  centro."
ombróS,ombroso;  schizzinoso  ;  geloso.
omenàz,"omone,  omaccione,  ominaccio  ;"
♦omenér,"omaccio,  ominaccio  ;  omùncolo,"
♦omenét,del  sercidr  V.  sercidr;  de  le
trovadore  •  mònaco  ;  de  «’  òrbo!,anima;
de  le  radis,"fittone,"
ometer,"omettere,  tralasciare,"
omét,"ometto,  omino  ;  attaccapanni  etc,"
*omét,birillo  (al  biliardo  etc.).
ometfn,"omettino,  omicriolo."
orniceli,omicidio;  assassinio  (spec.  con
tarsi.  Bser  su  le  0.,"essere  incerto,  dub¬"
"bevit  7  mar,  beva  anca  le  onde",dove  è
ondada,"ondata  ;  ondeggiamento,"
ondezar,"ondeggiare;  traballare,  bare- .Ilare,"
ondulazión,"ondulazione;  barcollamento,"
onèst,"onesto,  probo,  giusto,"
onestà,"onestà,  probità  ;  lealtà,"
onestisim,onestissimo  ;  integèrrimo.
*ongèla,ugnèlla.
'0  ngia,"unghia,  pò  poi.  ugna;  degli  animali"
etc.  artiglio.  Che  gh’  a  onge,"unghiato,"
unghiuto.  0.  cncamada,unghia  incar¬
"nita.  Onge  net  e,  sporche","pulite,  sùdice."
Aver  /'  o.  longa,"esser  ladro,  rapace,  aver"
ghia.  Sbregarse  n’o.,scheggiarsi.
*ongiada,unghiata  (colpo  coll'  unghia  e
onerós  (neol.),"oneroso  ;  gravoso,"
ònibus,"omnibus  ;  diligenza,"
ònirje,ònice.
*onguent,ungutnto;  mantèca.  Ònzer  co
l'  o.,unguentare  ;  Zontarghe  V  0.  e  le
prie,"far  opera  inutile,  perdere  il  ranno"
onipotente,"onnipotènte,"
onipotenza,"onnipotènza,"
onlz,V.  bven.
onomàstico,"onomàstico,"
onór,"onore  ;  riputazione,  onorabilità.  Che"
mente.  Far  0.  ( a  na  pietanza),mangiare
"di  voglia,  far  onore.  Farse  o.",riuscir
"bene,  farsi  onore.  Om,  parola  d'  0.","uomo,"
onorà,"onorato;  riputato,  rispettabile,"
onorabile,"onorevole,  onorabile,  onorando,"
onorar,"onorare,  avere  in  onore;  rispet¬"
onorari  (neol. I,"onorario,  stipendio;  retri¬"
onorateza,"onoratezza,  probità,"
onorific,"onorifico,  decoroso,"
onorificenza,onorificenza;  onoranza.
*ònt,unto;  lordo.  0.  e  biscuit  •  unto  e
*ont,"unto  ;  unguento,  0.  de  car  •  unto,"
untume  ;  de  le  rode,ralla  ;  del  capii  -
grasso.  Macia  de  o.  sul  vesti,frittella  ;
trinciar  de  0.  etc.,"affrittellare,  affrittellarsi,"
*ontlz,"unticcio,  untuoso  V.  ontìn."
*ontùm,untume.
onza,vecchia  misura  di  peso  e  di  lun¬
il  sistema  metrico).  A  o.  a  o.,a  poco
ònier,ungere  ;  spalmare  ;  0.  le  rode  -
farte  o.,"vaiti  a  tar  ungere,  friggere,"
*onión,"scherz.  quasi  venditor  d'  unti,"
*onzùda,"untata,  untatura  ;  unzione  di"
oòh!,ooh!  ( maraviglia ).
òpera,"atto,  azione,  òpera  ;  lavoro  d'  un"
"giorno  opra,  giornata  ;  A  o.",a  giornata
a  opra.  Chi  lavora  a  giornada,"opra,  o-"
"prante,  giornalièro.",Quel  che  se  paga  per
gàtico.  Piar  en  o.,"andare,  lavorare,  stare"
òpera,òpera  (teatrale).
operànt,"lavorante,  oprante,  giornalièro,"
operar,"operare,  agire  ;  produrre,"
operari,"operaio;  artefice,"
operatór,"operatore,  chirurgo,"
operazión,operazione  ne'  vari  sensi.
opereta,"operetta  (teatrale),  spreg.  ope¬"
"operón,  operona","operane,  operona."
opi,"loppo,  loppio,  oppio  (pianta)."
^opinion,"opinione;  parere,  idea.  Aver"
T  n'  o.,"opinare,"
opio,oppio  ( sonnifero ).
ópla!,oppelà!
opór,opporre;  resistere;  obiettare.  Rasón
che  se  pòi  o  no  se  pòi  oporghe,oppu¬
oportunità,"opportunità  ;  vantaggio,  co¬"
opòsto,"oppòsto,  contrario,"
oposizión,opposizione;  contraddizione;
opresión,"oppressione  ;  angheria  ;  asma,"
opresór,"oppressore,  soverchiatore,"
oprimer,"opprimere,  aggravare  ;  più  forte"
opùr,"oppure,  ovvero,  0."
opùscol  ineoi).,"opùscolo;  spreg.  librettino,"
opuscolét  (ncol.),"opuscoletto,  opuscolino."
♦or,"orlo;  estremità,  lembo;  limite.  0."
a  giorno,orlo  in  filo  (col  punto  a  gior¬
no).  0.  viv,"vivagno,"
ora,"ora;  tempo.  V  una,  le  doi,  /e  Irei"
etc.  e' invia,"il  tocco,  le  due,  le  tre  etc."
e  mezzo.  A  le  Irei  a  le  sete  etc.,alle
sett’ore).  N'o.  de  nòt.,un’  ora  dopo  ca¬
"nonica,  de  dimar","o.  del  desinare,  canò¬"
"per  tempo,  a,  di  buon’o.  A  o.","in  tempo,"
a  o.  A  ore  brusade.,"a  tempo  avanzato,"
a  ore  rubate.  A  st'o.,"a  quest’ora,  ne'  vari"
no  tegnir  o.,"non  tener  regola,  non  aver"
"ore.  Nar  io,  far  nar  io  le  ore.",infa¬
stidire  etc.  No  veder  l'o.,bramare  ar¬
"mille,  parer  mill'  anni.  Parer  o.",parer
Po.,"aver  fatta  una  mangiata,  una  strip-"
"pata,  esser  satollo.  Secar  le  o.","seccare,"
*òra,brezza  (che  risale  le  valli);  venti¬
*òra.  Dar,"dar  retta,  dare,  prestare  a-"
oràcol,"oràcolo,  predizione  ;  decisione  ;"
"oramai,  ormai","ormai,  oramai,  ornai,"
oratori,"oratorio;  chiesuòla,"
orazión,"orazione,  preghièra,  prece.  Dir"
le  o.,"dire,  recitare  le  o.  Libro  de  o.  -"
*òrba.  A  l*,"al  buio,  tentoni;  alla  cieca,"
*òrba,scazzata  (al  biliardo  etc  ).
orbaga,"bacca  d’  alloro,  orbaca."
*orbèra,"oscurità,  tenebre,  buio  pesto."
*orbesfn,"uno  che  vede  poco,  bircio,  volg."
orbeéfna.  orbeéòla,orbettino  (serpe).
*orbiròle,"vertigini,  capogiro,  travéggolc;"
*orbìsia,cecità;  miopia.
òrbo,"cièco,  orbo  ;  mìope,  bircio  ;  cischero"
-  cieco  da  un  occhio.  Dote  da  o.,botte
"solenni,  da  orbi.  Deventar  o.",accecare.
Finestra  o.,finestra  cieca.  Lctera  o.  -
lettera  anònima.  Nar  a  V  o.,andar  ten¬
«’  o.,lo  vedrebbe  un  cièco.  No  aver  da
far  cantar  n*o.,"essere  senza  quattrini,"
cantar  un  cieco.  O.  come  'n  fine,cieco
orchèstra,"orchèstra,"
orchestrina,orchestrina.
orchestraza,"orchestraccia,"
òrco,bestia  immaginaria  per  far  paura
Contar  quela  de  V  0.,tenere  a  bada  con
No  èser  l’o.  o  n  0.,"non  esser  bruttissimo,"
Brut  come  1'  o.,"brutto  quanto  il  peccato,"
*òrco,"baiabasco,  tasso  barabasso,  ver¬"
ordégn,"ordigno,  arnese,  strumento,"
órden,ordine  ne  vari  sensi :  comando  ;
0.  de  bataglia,anco  ordinanza.  0 .  dei
órdine;  perfettamente.  For  de  V  o.,straor¬
"oltremisura.  Mal'a  l""  0.","vestito  male,  in"
"Me  ter,  remeter  eti  0.","mettere  in  ordine,"
ordì,"ordito,"
ordidor,"orditoio,"
ordidura,"orditura;  trama,"
ordinamént,ordinamento  ;  regolamento  ;
ordinanza,ordinanza;  attendente  (mili¬
ordinar,"ordinare,  disporre  ;  comandare,"
ordinari,"ordinario,  solito;  mediocre,  doz¬"
"zinale,  grossolano,  rozzo.  D' 0.",d’  ordi¬
ordinazi  ón,"ordinazione,  ricetta,"
ordir,"ordire  [della  tela  e  dei  bachi),"
orecioni,"orecchioni,  gattoni  {malattia)."
oredèl,"orlo  {cucilo  a  soppnnto ),  orlatura,"
oréves,"oréfice  ;  gioiellière.  Botega,  arte ,"
laore'r.  de  Co.,"oreficeria,"
oremus,oremus.
orendisim,"orrendissimo,  terribilissimo  ;"
orèndo,"orrèndo,  òrrido,  spaventoso,"
oreta,"oretta,  schert.  orina,"
orfanotrofi  ( ncol .),"orfanotrofio,"
organét,organetto  o  organino  (a  mano¬
organista,organista.
organizar  (rieoli),"ordinare,  disporre,  siste¬"
organisazión  {neal.),ordinamento  ;  disposi¬
organót,organuccio.
orgasmo,"orgasmo,  agitazione  ;  apprensio¬"
òrghen,"òrgano,  anche  per  balcone  o  ter¬"
chiesa.  Cane  de  l'o.,"canne  dell’organo,"
♦orghenar  (de  l'àsen),"ragliare  ;  raglio,"
orghenista,"organista,"
orgoli,"orgoglio,  alterigia,  burbanza."
orgolioà,"orgoglioso,  altero,  burbanzoso,"
orìbil,"orribile,  terribile,  orrendo,"
orientarne,orientarsi  ;  raddrizzarsi  ;  rac¬
originalità,"originalità,  singolarità,"
origine,"origine,  principio  ;  causa,  cagio¬"
orinàl,"orinale,  euf.  vaso."
orinalét,orinaletto.
orizonte,"orizzonte;  prospettiva,"
orladór,"orlatore,  orlatola."
orladura,orlatura.
orlar,orlare.
orlét,orlino.
orlif,orliccio.
Su  l'o.  del  precipizi,"vicino  alla  rovina,"
orlogét,"orologetto,  oriolétto."
orma,"orma,  impronta,  pedata  ;  traccia,"
♦ormar,"seguir  l'orma,  seguire,  pedinare,"
♦orna,ani.  misura  di  liquidi  di  arca
ornamént,"ornamento,  ornato  ;  abbelli¬"
ornar  (neol.),"ornare,  adornare,  fregiare,"
ornato,ornato.
"caramente,  a  peso  d’  o.  Cor  d'o.",cuòre
Co.,"sincero,  genuino,  giusto;  càatto,  pre¬"
ciso.  LÀgar  en  o.,legare^  in  o.  Om  d’o.
Per  tut  Co.  del  mondo,"a  nessun  prezzo,"
tanl'  oro  guani  che  ’l  pesa,"valere  molto,"
orologeria  (neo/.),"orologeria,"
orologiàr,orologiaio.
orolòi,"orològio,  più  coni,  oriòlo.  0.  che"
ritarda;  che  è  nò  ho,scàrico.  O.  grand
e  strai,scherz.  girarrosto.  Mar  come
n’o.,"estiamente,  regolatamente,  come  un"
o.  Tirar  su  Po.,caricare.
orór,"orrore,  anco  per  persona  0  cosa"
Sentir  o.,"inorridire,"
ors,"orso,  anco  per  persona  selvatica,"
rohha  :  0.  formigarbl,"leggenti,  orso"
del'  0.,"urlare,  fremere,  ringhiare.  Menar"
Po  a  Modena.,tirare  in  lungo  con  pro¬
Na  fraga  a  P  o.,insufhcente  al  biso¬
orsàt,"orsacchiotto,  orsalto  ;  robusto,  fat¬"
coltiva  nei  0.,"ortivo,  ortense.  L' arte"
de  coltivar  i  0.,orticultura.  Aver  V  0.
e  le  verte,avere  una  cosa  con  tutti  i
verte,"salvar  da  due  pericoli  opposti,"
ortaia,ortaglia  ( terreno  d’orti).
ortensia,ortensia  (pianta).
ortesèl,"orticello  ;  più  piccolo  orticino,"
*ortezar,"coltivare  a  orto,  coltivare  or¬"
orticaria,orticaria  (malattìa).
ortiga,ortica.
'ortigada,"punture  di’  ortica,  orticazione,"
ortigar,orticaio;  se  vasto  orticheto.
"*ortigar,  ortigarse","pùngere,  pungersi  con"
tortigliela,"Nar  a  orligliele,  scherz.  -"
ortigón,orticone.
ortografia,"ortografia,"
ortolàn,"chi  coltrila  V  orto ,  ortolano,"
ortolàn,ortolano  (ucci)  »
orz,orzo.  Zitcher  d’  o.  F.  zùcher.  Dar
Po.,"dar  la  pena  meritata,  dar  l’orzo,"
orzada,"orzata,"
orzét,orzuola.
oriól,"malore  agli  orchi,  orzaiolo."
orzòl,"orciolo,  orcio  (di  terra)  ;  stagnòla"
òs,"òsso,  plur.  ossi  (.re  staccati),  ossa"
Che  g’ ha  qualità  de  0,òsseo  ;  Che  g'ha
osi  grandi,"ossuto.  Frut  che  g’ha  osi,"
pù  osi,"frutto  a  nòcciolo,  nocrioloso.  Con¬"
Po.,"assuefarsi,  far  l’osso  a.  0.  dnr  (da"
rosegar,"grave  difficoltà,  osso  duro  (a"
rùdere).  Rompersi  /’  0.  del  còl,rompersi
osadura,"ossatura  ;  schèletro,"
osàm,ossame.
osana  —  osanna.  Cantar  0.,"gridare,  can¬"
osar,"osare,  ordire;  avventurarsi,"
osari,ossario.
oscurar,"oscurare,  abbuiare."
oscurità,"oscurità,  tenebre,  buio."
oèèl,uccello;  volàtile.  Osèi  dal  bèc  zentìl
che  vìve  de '  grani,granìvoro  ;  de  insèti  ;
insettivoro.  Osci  del  cald,"ucc.  stativi,"
stazionari  ;  dt  pasagio,"di  passo,  migra¬"
tori.  Ò  ciapà  da  poc,ucc.  preàiccio.  O.
da  niv,"ucc.  di  nido,  nidiace.  Sito  per"
conservar  vivi  i.  o.,uccelliera.  A  osei
n’o.,"lesto,  vispo  come  un  uccello.  Bel"
o/...  (iron.),bell*  arnese!  bel  cosino  1
"(, scherz .)","uomo  astuto,  scaltro,  un  dirit-"
"tone,  mariolo.  El  vèrs  dei  o.","pigolare,"
osèl  da  la  nev.,"zìgulo  della  neve,"
oselà,"scaltrito,  ammalizzito,  accivettato"
oselada,"uccellatura,  uccellagione;  allet¬"
oseladór,"uccellatore,"
oselàm,"uccellame  ;  uccellaia,"
oselanda,uccellare  ;  frasconaia.
oselar,"uccellare,  anco  per  beffare,  cor¬"
El  sito  e  ’l  tempo  d'o.,uccellagione.
oselàz,"uccellacelo  ;  uccello  di  rapina,"
oseléra,"uccellare,  uccellatolo  ;  in  getter."
oselét,uccelletto.
oselin,uccellino.
oselón,uccellone.
osequiar,"ossequiare,  riverire."
osequio,"ossequio,  riverenza."
osequiós,"ossequioso,  rispettoso,  riverente."
oservante,osservante.
oservanza,"osservanza,  adempimento,"
oservar,"osservare,  considerare,"
oservatori,"osservatorio,"
oservazión,"osservazione  ;  appunto,  ri¬"
osét,"ossetto,  ossino,  ossicino,"
osetfn,"ossicino,  ossicello."
osìa,"ossia,  cioè,  vale  a  dire,"
osidar  (neol.),"ossidare,"
osificar,"ossificare,"
osigenar  (neol.),"ossigenare,"
osigeno  (neol.),ossigeno.
♦osocòl,coppa  (salume).
ospedal,"ospedale,  spedale.  L'  o.  crida"
alla  Cà  de  Dio,riprender  altri  di  di¬
ospitaliera,ospitalièra  (monaca).
ospitalità,"ospitalità,"
ospitar,"ospitare,  accògliere;  ricoverare,"
òspite,"òspite,"
ospizi,"ospizio;  ricóvero,"
"òst,  osto","betloliere,  tavernaio;  òste;"
d'  un  signore ).,Far  t  conti  senza  V o.
perde  ’l  posto,"chi  va  al  gioco  perde  il  loco,"
ostàcol,"ostacolo,  impedimento;  opposi¬"
‘ostacolar  (neol.),"fare  impedimento,  op¬"
ostagio,ostaggio.
ostaria,"béttola,  taverna  ;  osteria  (propr."
ostariante,"frcquentator  di  bettole,  bet¬"
ostariaza,"bettolaccia,  (svernacela,  oste-"
osteriota,"bettoluccia  ;  osteriuccia,  gar¬"
ostegiar,"osteggiare,  contrariare  ;  nemicare,"
ostensori,"ostensorio,"
ostentar,"ostentare,  far  pompa,"
ostesa,"bettoliera,  ostessa,"
ostia,"ostia,"
ostiari,ostiario.
ostile,"ostile,  avverso,  contrario,"
ostilità,"ostilità  :  nimiciza,  animosità."
ostinà,"ostinato,  cocciuto,  (spec.  in  cosa"
stia,"pervicace,  donde  pervicacemente."
ostinarse,"ostinarsi,  incaponirsi,  incnc-"
ostinazión,"ostinazione,  cocciutaggine  ;"
osto,V.  osi.
òstrega,"òstrica;  sputo  catarroso,  scarac¬"
ostregar,"scaracchiare,"
"ostregàr,  ostregaro","ostricaio,"
otantina,"ottantina,"
otarda,ottarda  \uc e..)
otava,ottava  ne’  vari  sensi.
otavari,ottavario.
otavo,"ottavo,"
otavin,ottavino.
'otèl  (neoì.),"albergo,  locanda,"
otener,"ottenere,  conseguire  ;  ricavare."
ètico,"ottico,  occhialaio,"
